code_module,code_presentation,id_student,final_result,total_clicks,active_days,unique_resources,num_forum,num_quiz,avg_score,num_assess_attempted,total_weight,module_presentation_length,num_of_prev_attempts,studied_credits,highest_education,age_band,imd_band,disability,gender,region
AAA,2013J,104476,Pass,4777.0,161.0,106.0,0.0,0.0,79.6,5.0,100.0,268,0,60,Post Graduate Qualification,35-55,0,N,M,Ireland
AAA,2013J,106247,Withdrawn,465.0,33.0,43.0,0.0,0.0,60.0,3.0,50.0,268,0,60,HE Qualification,35-55,80-90%,N,M,South Region
AAA,2013J,106577,Pass,733.0,47.0,50.0,0.0,0.0,53.4,5.0,100.0,268,0,60,Lower Than A Level,0-35,20-30%,N,M,East Midlands Region
AAA,2013J,110175,Pass,998.0,70.0,68.0,0.0,0.0,63.4,5.0,100.0,268,0,60,HE Qualification,35-55,80-90%,N,M,East Anglian Region
AAA,2013J,111717,Pass,2343.0,136.0,89.0,0.0,0.0,81.0,3.0,60.0,268,0,60,HE Qualification,35-55,90-100%,N,F,East Anglian Region
AAA,2013J,113295,Pass,3553.0,195.0,92.0,0.0,0.0,77.6,5.0,100.0,268,0,60,Lower Than A Level,35-55,60-70%,N,M,Yorkshire Region
AAA,2013J,114017,Pass,757.0,50.0,39.0,0.0,0.0,71.8,5.0,100.0,268,0,60,Post Graduate Qualification,35-55,0,N,F,North Region
AAA,2013J,114999,Pass,1358.0,120.0,86.0,0.0,0.0,72.8,5.0,100.0,268,0,60,HE Qualification,35-55,60-70%,N,M,Yorkshire Region
AAA,2013J,116541,Pass,1886.0,108.0,73.0,0.0,0.0,62.4,5.0,100.0,268,0,60,HE Qualification,0-35,0-10%,N,M,Wales
AAA,2013J,116692,Pass,1108.0,98.0,64.0,0.0,0.0,74.2,5.0,100.0,268,0,60,A Level or Equivalent,35-55,70-80%,N,M,East Anglian Region
AAA,2013J,118983,Pass,284.0,27.0,35.0,0.0,0.0,61.8,5.0,100.0,268,0,120,HE Qualification,0-35,30-40%,N,M,East Midlands Region
AAA,2013J,123044,Pass,2041.0,127.0,75.0,0.0,0.0,71.4,5.0,100.0,268,0,60,A Level or Equivalent,35-55,40-50%,N,M,South Region
AAA,2013J,127582,Pass,1321.0,89.0,64.0,0.0,0.0,69.6,5.0,100.0,268,0,180,A Level or Equivalent,0-35,40-50%,N,F,East Midlands Region
AAA,2013J,129955,Withdrawn,1011.0,83.0,51.0,0.0,0.0,81.0,3.0,50.0,268,0,60,A Level or Equivalent,0-35,50-60%,N,M,West Midlands Region
AAA,2013J,132976,Pass,520.0,32.0,47.0,0.0,0.0,67.4,5.0,100.0,268,0,120,Lower Than A Level,35-55,80-90%,N,F,East Anglian Region
AAA,2013J,134143,Distinction,2732.0,138.0,85.0,0.0,0.0,84.4,5.0,100.0,268,0,60,A Level or Equivalent,35-55,90-100%,N,F,South East Region
AAA,2013J,135335,Withdrawn,57.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,268,0,180,Lower Than A Level,0-35,20-30%,N,F,East Anglian Region
AAA,2013J,135400,Withdrawn,287.0,24.0,28.0,0.0,0.0,61.5,2.0,30.0,268,0,60,Lower Than A Level,35-55,90-100%,Y,F,South East Region
AAA,2013J,137873,Pass,5528.0,192.0,86.0,0.0,0.0,80.2,5.0,100.0,268,0,60,A Level or Equivalent,35-55,40-50%,N,M,South West Region
AAA,2013J,141355,Pass,1823.0,92.0,74.0,0.0,0.0,72.6,5.0,100.0,268,0,240,A Level or Equivalent,0-35,30-40%,N,F,East Midlands Region
AAA,2013J,141377,Withdrawn,143.0,9.0,21.0,0.0,0.0,45.0,1.0,10.0,268,0,345,A Level or Equivalent,0-35,90-100%,N,M,South West Region
AAA,2013J,142326,Pass,2121.0,95.0,84.0,0.0,0.0,73.6,5.0,100.0,268,0,60,A Level or Equivalent,35-55,50-60%,N,F,North Region
AAA,2013J,144801,Pass,5645.0,200.0,122.0,0.0,0.0,68.8,5.0,100.0,268,0,60,HE Qualification,35-55,80-90%,N,F,South Region
AAA,2013J,145130,Pass,452.0,35.0,48.0,0.0,0.0,54.4,5.0,100.0,268,0,120,HE Qualification,0-35,60-70%,N,M,South West Region
AAA,2013J,146188,Fail,597.0,32.0,53.0,0.0,0.0,50.0,5.0,100.0,268,0,60,A Level or Equivalent,0-35,20-30%,Y,F,West Midlands Region
AAA,2013J,147756,Fail,611.0,74.0,40.0,0.0,0.0,73.75,4.0,70.0,268,0,120,Lower Than A Level,0-35,60-70%,N,M,North Region
AAA,2013J,147793,Withdrawn,155.0,9.0,17.0,0.0,0.0,52.0,1.0,10.0,268,0,90,Lower Than A Level,0-35,80-90%,N,F,North Region
AAA,2013J,148993,Withdrawn,1864.0,106.0,70.0,0.0,0.0,72.0,3.0,50.0,268,0,60,A Level or Equivalent,35-55,30-40%,Y,F,North Western Region
AAA,2013J,151358,Pass,270.0,20.0,31.0,0.0,0.0,50.0,5.0,100.0,268,0,150,A Level or Equivalent,0-35,80-90%,N,F,London Region
AAA,2013J,155550,Pass,1529.0,81.0,59.0,0.0,0.0,67.0,5.0,100.0,268,0,420,A Level or Equivalent,35-55,0-10%,N,M,London Region
AAA,2013J,155854,Pass,4003.0,202.0,96.0,0.0,0.0,79.8,5.0,100.0,268,0,60,A Level or Equivalent,35-55,20-30%,N,F,East Midlands Region
AAA,2013J,155984,Withdrawn,908.0,44.0,44.0,0.0,0.0,80.0,2.0,30.0,268,0,60,Lower Than A Level,0-35,70-80%,N,F,East Anglian Region
AAA,2013J,157568,Pass,1405.0,87.0,62.0,0.0,0.0,70.6,5.0,100.0,268,0,60,A Level or Equivalent,0-35,90-100%,N,F,South West Region
AAA,2013J,159954,Withdrawn,1185.0,66.0,58.0,0.0,0.0,66.5,2.0,30.0,268,0,60,A Level or Equivalent,35-55,40-50%,N,M,East Midlands Region
AAA,2013J,164259,Pass,466.0,51.0,41.0,0.0,0.0,71.8,5.0,100.0,268,0,60,A Level or Equivalent,0-35,70-80%,N,M,Scotland
AAA,2013J,167906,Pass,1510.0,99.0,75.0,0.0,0.0,69.4,5.0,100.0,268,0,60,A Level or Equivalent,35-55,40-50%,N,F,Yorkshire Region
AAA,2013J,168936,Pass,745.0,42.0,47.0,0.0,0.0,66.4,5.0,100.0,268,0,60,Lower Than A Level,35-55,10-20,N,F,West Midlands Region
AAA,2013J,172112,Pass,1939.0,135.0,84.0,0.0,0.0,69.6,5.0,100.0,268,0,60,HE Qualification,35-55,0,N,M,Ireland
AAA,2013J,172797,Pass,1782.0,86.0,85.0,0.0,0.0,61.4,5.0,100.0,268,0,60,A Level or Equivalent,35-55,0,N,F,Ireland
AAA,2013J,174782,Pass,6318.0,249.0,93.0,0.0,0.0,80.4,5.0,100.0,268,0,60,HE Qualification,55<=,90-100%,N,M,East Anglian Region
AAA,2013J,175392,Pass,4447.0,197.0,117.0,0.0,0.0,82.4,5.0,100.0,268,0,60,HE Qualification,35-55,0,N,M,North Region
AAA,2013J,175932,Pass,2016.0,97.0,60.0,0.0,0.0,78.2,5.0,100.0,268,0,60,HE Qualification,35-55,70-80%,N,M,North Western Region
AAA,2013J,175991,Fail,138.0,17.0,17.0,0.0,0.0,37.6,5.0,100.0,268,0,180,A Level or Equivalent,0-35,80-90%,N,F,North Western Region
AAA,2013J,180753,Pass,2012.0,157.0,83.0,0.0,0.0,53.4,5.0,100.0,268,0,120,A Level or Equivalent,0-35,30-40%,N,M,South West Region
AAA,2013J,181316,Withdrawn,487.0,20.0,37.0,0.0,0.0,76.0,1.0,10.0,268,0,120,A Level or Equivalent,35-55,80-90%,N,F,South West Region
AAA,2013J,183096,Pass,1975.0,116.0,83.0,0.0,0.0,54.0,5.0,100.0,268,0,60,A Level or Equivalent,0-35,60-70%,N,F,South West Region
AAA,2013J,183947,Pass,964.0,58.0,69.0,0.0,0.0,49.0,5.0,100.0,268,0,180,A Level or Equivalent,0-35,10-20,N,M,London Region
AAA,2013J,184271,Pass,1312.0,147.0,90.0,0.0,0.0,59.8,5.0,100.0,268,0,170,HE Qualification,35-55,80-90%,N,M,South West Region
AAA,2013J,185439,Fail,427.0,15.0,36.0,0.0,0.0,74.0,1.0,10.0,268,0,120,HE Qualification,0-35,10-20,N,M,London Region
AAA,2013J,186149,Pass,2136.0,109.0,133.0,0.0,0.0,76.0,5.0,100.0,268,0,60,HE Qualification,35-55,30-40%,N,M,Scotland
AAA,2013J,187100,Distinction,8562.0,231.0,97.0,0.0,0.0,89.2,5.0,100.0,268,0,60,A Level or Equivalent,35-55,50-60%,N,M,South East Region
AAA,2013J,188278,Withdrawn,1434.0,49.0,41.0,0.0,0.0,76.0,1.0,10.0,268,0,120,A Level or Equivalent,35-55,70-80%,N,M,Yorkshire Region
AAA,2013J,189879,Pass,1541.0,84.0,75.0,0.0,0.0,79.4,5.0,100.0,268,0,120,A Level or Equivalent,0-35,90-100%,N,M,Scotland
AAA,2013J,192183,Pass,3219.0,176.0,86.0,0.0,0.0,68.4,5.0,100.0,268,0,60,Lower Than A Level,0-35,90-100%,N,F,South West Region
AAA,2013J,195262,Withdrawn,1905.0,58.0,75.0,0.0,0.0,50.0,1.0,20.0,268,0,60,A Level or Equivalent,0-35,90-100%,N,M,London Region
AAA,2013J,200860,Pass,534.0,81.0,42.0,0.0,0.0,54.4,5.0,100.0,268,0,60,Lower Than A Level,35-55,50-60%,N,M,London Region
AAA,2013J,202635,Withdrawn,1418.0,47.0,49.0,0.0,0.0,66.66666666666667,3.0,50.0,268,0,60,A Level or Equivalent,0-35,30-40%,N,F,Wales
AAA,2013J,205350,Pass,1665.0,126.0,106.0,0.0,0.0,72.2,5.0,100.0,268,0,60,HE Qualification,35-55,80-90%,N,M,South West Region
AAA,2013J,205719,Fail,333.0,32.0,35.0,0.0,0.0,56.66666666666666,3.0,50.0,268,0,90,A Level or Equivalent,0-35,40-50%,Y,M,East Anglian Region
AAA,2013J,227499,Distinction,2953.0,162.0,86.0,0.0,0.0,83.6,5.0,100.0,268,0,60,A Level or Equivalent,35-55,10-20,N,F,London Region
AAA,2013J,227517,Fail,1205.0,69.0,59.0,0.0,0.0,62.6,5.0,100.0,268,0,180,HE Qualification,0-35,0,N,M,Ireland
AAA,2013J,228082,Pass,227.0,37.0,24.0,0.0,0.0,72.4,5.0,100.0,268,0,60,HE Qualification,0-35,60-70%,N,M,London Region
AAA,2013J,228222,Pass,445.0,38.0,45.0,0.0,0.0,61.8,5.0,100.0,268,0,60,Lower Than A Level,0-35,50-60%,N,M,East Midlands Region
AAA,2013J,229179,Pass,614.0,50.0,45.0,0.0,0.0,66.0,5.0,100.0,268,0,60,A Level or Equivalent,0-35,20-30%,N,M,West Midlands Region
AAA,2013J,229361,Pass,1215.0,123.0,52.0,0.0,0.0,78.0,5.0,100.0,268,0,60,A Level or Equivalent,0-35,50-60%,N,M,East Midlands Region
AAA,2013J,231554,Pass,1839.0,86.0,67.0,0.0,0.0,67.75,4.0,80.0,268,0,240,A Level or Equivalent,0-35,40-50%,N,M,London Region
AAA,2013J,235507,Withdrawn,190.0,21.0,24.0,0.0,0.0,65.0,1.0,10.0,268,0,240,A Level or Equivalent,0-35,90-100%,N,M,Yorkshire Region
AAA,2013J,236284,Pass,732.0,41.0,56.0,0.0,0.0,78.0,5.0,100.0,268,0,60,Post Graduate Qualification,0-35,90-100%,N,M,Scotland
AAA,2013J,238007,Pass,1935.0,162.0,92.0,0.0,0.0,79.2,5.0,100.0,268,0,60,HE Qualification,55<=,90-100%,N,M,South Region
AAA,2013J,240712,Pass,321.0,26.0,33.0,0.0,0.0,75.8,5.0,100.0,268,0,80,HE Qualification,0-35,80-90%,N,M,London Region
AAA,2013J,240884,Pass,427.0,44.0,48.0,0.0,0.0,58.4,5.0,100.0,268,0,120,A Level or Equivalent,0-35,90-100%,N,M,South Region
AAA,2013J,241649,Pass,1892.0,135.0,77.0,0.0,0.0,78.8,5.0,100.0,268,0,60,HE Qualification,35-55,90-100%,N,M,East Anglian Region
AAA,2013J,241729,Fail,1829.0,117.0,77.0,0.0,0.0,58.6,5.0,100.0,268,0,60,HE Qualification,35-55,60-70%,N,F,East Midlands Region
AAA,2013J,242793,Pass,658.0,56.0,82.0,0.0,0.0,77.4,5.0,100.0,268,0,60,HE Qualification,35-55,20-30%,N,M,London Region
AAA,2013J,246834,Pass,1174.0,68.0,50.0,0.0,0.0,55.6,5.0,100.0,268,0,60,A Level or Equivalent,35-55,90-100%,N,M,South West Region
AAA,2013J,248270,Pass,1969.0,193.0,64.0,0.0,0.0,78.4,5.0,100.0,268,0,90,Lower Than A Level,0-35,20-30%,N,M,North Western Region
AAA,2013J,255548,Pass,2580.0,166.0,77.0,0.0,0.0,71.4,5.0,100.0,268,0,60,Lower Than A Level,35-55,20-30%,N,M,Wales
AAA,2013J,256815,Pass,1481.0,139.0,79.0,0.0,0.0,76.8,5.0,100.0,268,0,120,HE Qualification,0-35,10-20,N,M,North Western Region
AAA,2013J,258392,Pass,844.0,53.0,63.0,0.0,0.0,58.8,5.0,100.0,268,0,60,Lower Than A Level,0-35,30-40%,N,F,West Midlands Region
AAA,2013J,258894,Pass,4963.0,204.0,85.0,0.0,0.0,64.8,5.0,100.0,268,0,60,Lower Than A Level,35-55,70-80%,N,F,East Anglian Region
AAA,2013J,260355,Withdrawn,426.0,43.0,35.0,0.0,0.0,57.5,2.0,50.0,268,0,60,A Level or Equivalent,35-55,80-90%,N,F,London Region
AAA,2013J,262011,Pass,1066.0,69.0,49.0,0.0,0.0,71.0,5.0,100.0,268,0,60,A Level or Equivalent,35-55,20-30%,N,M,East Midlands Region
AAA,2013J,262934,Pass,2407.0,119.0,71.0,0.0,0.0,76.6,5.0,100.0,268,0,60,A Level or Equivalent,35-55,30-40%,N,F,North Western Region
AAA,2013J,268073,Fail,3210.0,116.0,88.0,0.0,0.0,74.6,5.0,100.0,268,0,90,A Level or Equivalent,35-55,10-20,N,M,East Anglian Region
AAA,2013J,268733,Withdrawn,188.0,18.0,14.0,0.0,0.0,43.0,2.0,30.0,268,0,180,A Level or Equivalent,0-35,30-40%,N,M,East Anglian Region
AAA,2013J,271251,Pass,3348.0,128.0,93.0,0.0,0.0,76.4,5.0,100.0,268,0,60,A Level or Equivalent,35-55,80-90%,N,M,Scotland
AAA,2013J,277880,Withdrawn,2016.0,78.0,63.0,0.0,0.0,67.66666666666667,3.0,50.0,268,0,60,A Level or Equivalent,0-35,60-70%,N,F,South East Region
AAA,2013J,279572,Distinction,1183.0,63.0,57.0,0.0,0.0,79.2,5.0,100.0,268,0,60,Lower Than A Level,0-35,40-50%,N,M,London Region
AAA,2013J,281022,Pass,492.0,49.0,45.0,0.0,0.0,73.4,5.0,100.0,268,0,150,A Level or Equivalent,0-35,30-40%,N,F,Scotland
AAA,2013J,281250,Fail,130.0,15.0,24.0,0.0,0.0,55.4,5.0,100.0,268,0,60,Lower Than A Level,35-55,70-80%,N,M,Wales
AAA,2013J,281589,Fail,59.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,268,0,60,HE Qualification,0-35,30-40%,N,M,North Western Region
AAA,2013J,282821,Pass,1961.0,87.0,69.0,0.0,0.0,60.6,5.0,100.0,268,0,60,A Level or Equivalent,35-55,30-40%,N,M,South West Region
AAA,2013J,286488,Pass,1046.0,68.0,76.0,0.0,0.0,71.0,5.0,100.0,268,0,60,A Level or Equivalent,35-55,90-100%,N,M,South East Region
AAA,2013J,287548,Pass,483.0,47.0,53.0,0.0,0.0,67.8,5.0,100.0,268,0,120,A Level or Equivalent,0-35,90-100%,N,M,East Anglian Region
AAA,2013J,290201,Pass,1740.0,108.0,65.0,0.0,0.0,70.4,5.0,100.0,268,0,60,A Level or Equivalent,0-35,20-30%,N,M,Wales
AAA,2013J,290757,Pass,652.0,33.0,37.0,0.0,0.0,75.0,5.0,100.0,268,0,60,A Level or Equivalent,0-35,30-40%,N,M,North Western Region
AAA,2013J,291334,Distinction,5231.0,229.0,99.0,0.0,0.0,83.6,5.0,100.0,268,0,60,A Level or Equivalent,35-55,90-100%,N,M,South East Region
AAA,2013J,292923,Withdrawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268,0,180,A Level or Equivalent,35-55,90-100%,N,F,South East Region
AAA,2013J,293699,Pass,187.0,28.0,35.0,0.0,0.0,46.75,4.0,90.0,268,0,120,A Level or Equivalent,0-35,70-80%,N,M,East Midlands Region
AAA,2013J,294570,Pass,1775.0,119.0,85.0,0.0,0.0,78.2,5.0,100.0,268,0,60,HE Qualification,55<=,90-100%,N,M,South East Region
AAA,2013J,294594,Pass,865.0,94.0,52.0,0.0,0.0,52.8,5.0,100.0,268,0,60,A Level or Equivalent,0-35,90-100%,N,M,South East Region
AAA,2013J,295741,Fail,709.0,87.0,50.0,0.0,0.0,50.2,5.0,100.0,268,0,240,A Level or Equivalent,35-55,40-50%,N,M,South East Region
AAA,2013J,296332,Distinction,2152.0,124.0,91.0,0.0,0.0,86.8,5.0,100.0,268,0,60,Post Graduate Qualification,55<=,90-100%,N,M,South Region
AAA,2013J,298696,Pass,514.0,58.0,44.0,0.0,0.0,80.8,5.0,100.0,268,0,60,HE Qualification,0-35,80-90%,N,F,South East Region
AAA,2013J,300398,Pass,1997.0,108.0,55.0,0.0,0.0,78.8,5.0,100.0,268,0,60,A Level or Equivalent,35-55,30-40%,N,M,West Midlands Region
AAA,2013J,302302,Fail,513.0,24.0,42.0,0.0,0.0,58.66666666666666,3.0,50.0,268,0,60,A Level or Equivalent,0-35,40-50%,N,F,East Anglian Region
AAA,2013J,305152,Fail,146.0,11.0,17.0,0.0,0.0,64.0,1.0,10.0,268,0,60,A Level or Equivalent,0-35,70-80%,N,M,North Western Region
AAA,2013J,305386,Pass,1277.0,85.0,81.0,0.0,0.0,78.0,5.0,100.0,268,0,120,A Level or Equivalent,0-35,70-80%,Y,M,West Midlands Region
AAA,2013J,305539,Withdrawn,68.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,268,0,120,Lower Than A Level,0-35,80-90%,N,F,Wales
AAA,2013J,306107,Pass,987.0,81.0,63.0,0.0,0.0,58.2,5.0,100.0,268,0,120,A Level or Equivalent,35-55,50-60%,N,M,West Midlands Region
AAA,2013J,306466,Pass,1220.0,110.0,68.0,0.0,0.0,82.0,5.0,100.0,268,0,60,A Level or Equivalent,35-55,90-100%,N,M,East Anglian Region
AAA,2013J,306897,Pass,2742.0,189.0,83.0,0.0,0.0,62.6,5.0,100.0,268,0,60,A Level or Equivalent,0-35,10-20,N,F,London Region
AAA,2013J,307061,Pass,1081.0,87.0,69.0,0.0,0.0,81.2,5.0,100.0,268,0,60,HE Qualification,0-35,10-20,N,F,East Midlands Region
AAA,2013J,307866,Pass,1476.0,76.0,74.0,0.0,0.0,60.0,4.0,70.0,268,0,60,A Level or Equivalent,0-35,70-80%,N,M,West Midlands Region
AAA,2013J,311917,Pass,2230.0,145.0,84.0,0.0,0.0,59.2,5.0,100.0,268,0,120,A Level or Equivalent,55<=,60-70%,N,M,South West Region
AAA,2013J,312537,Distinction,12882.0,271.0,111.0,0.0,0.0,87.8,5.0,100.0,268,0,60,Post Graduate Qualification,55<=,90-100%,N,M,South Region
AAA,2013J,312782,Pass,281.0,46.0,30.0,0.0,0.0,61.8,5.0,100.0,268,0,60,A Level or Equivalent,0-35,90-100%,N,M,South Region
AAA,2013J,318933,Pass,1281.0,106.0,66.0,0.0,0.0,66.6,5.0,100.0,268,0,120,HE Qualification,0-35,80-90%,N,F,East Anglian Region
AAA,2013J,319047,Pass,6589.0,232.0,104.0,0.0,0.0,78.4,5.0,100.0,268,0,60,A Level or Equivalent,0-35,50-60%,N,F,East Midlands Region
AAA,2013J,321942,Pass,10083.0,239.0,102.0,0.0,0.0,80.4,5.0,100.0,268,0,60,HE Qualification,55<=,90-100%,N,M,South Region
AAA,2013J,324002,Pass,1901.0,122.0,80.0,0.0,0.0,80.4,5.0,100.0,268,0,60,HE Qualification,35-55,40-50%,N,M,East Anglian Region
AAA,2013J,324084,Pass,1961.0,110.0,81.0,0.0,0.0,57.6,5.0,100.0,268,0,60,A Level or Equivalent,35-55,10-20,N,F,South West Region
AAA,2013J,324282,Pass,133.0,38.0,23.0,0.0,0.0,61.2,5.0,100.0,268,0,120,A Level or Equivalent,0-35,90-100%,N,M,South East Region
AAA,2013J,331358,Withdrawn,2376.0,45.0,109.0,0.0,0.0,84.0,1.0,10.0,268,0,60,HE Qualification,35-55,90-100%,N,F,South Region
AAA,2013J,332789,Pass,1655.0,72.0,69.0,0.0,0.0,74.4,5.0,100.0,268,0,60,A Level or Equivalent,35-55,60-70%,N,F,East Anglian Region
AAA,2013J,333059,Pass,301.0,31.0,39.0,0.0,0.0,65.8,5.0,100.0,268,0,120,A Level or Equivalent,0-35,20-30%,N,M,Scotland
AAA,2013J,333323,Pass,648.0,36.0,45.0,0.0,0.0,74.4,5.0,100.0,268,0,60,HE Qualification,0-35,80-90%,N,M,Scotland
AAA,2013J,334259,Fail,332.0,27.0,30.0,0.0,0.0,53.0,2.0,30.0,268,0,150,A Level or Equivalent,0-35,50-60%,N,F,London Region
AAA,2013J,334333,Withdrawn,303.0,33.0,23.0,0.0,0.0,36.0,1.0,10.0,268,0,240,A Level or Equivalent,0-35,0-10%,Y,F,South West Region
AAA,2013J,335764,Withdrawn,2286.0,106.0,57.0,0.0,0.0,86.33333333333333,3.0,50.0,268,0,60,A Level or Equivalent,0-35,20-30%,N,F,South East Region
AAA,2013J,336207,Pass,1316.0,111.0,66.0,0.0,0.0,68.2,5.0,100.0,268,0,120,A Level or Equivalent,0-35,90-100%,N,M,East Anglian Region
AAA,2013J,339972,Pass,333.0,33.0,28.0,0.0,0.0,49.8,5.0,100.0,268,0,60,A Level or Equivalent,0-35,80-90%,N,M,North Region
AAA,2013J,341872,Fail,201.0,35.0,25.0,0.0,0.0,64.2,5.0,100.0,268,0,180,Lower Than A Level,0-35,40-50%,N,M,East Anglian Region
AAA,2013J,342007,Withdrawn,880.0,38.0,37.0,0.0,0.0,75.0,1.0,10.0,268,0,60,HE Qualification,0-35,70-80%,N,F,West Midlands Region
AAA,2013J,342514,Pass,1950.0,98.0,74.0,0.0,0.0,77.2,5.0,100.0,268,0,60,Lower Than A Level,55<=,50-60%,N,M,Scotland
AAA,2013J,342972,Pass,838.0,72.0,62.0,0.0,0.0,60.4,5.0,100.0,268,0,60,HE Qualification,0-35,0-10%,N,M,Yorkshire Region
AAA,2013J,343446,Pass,3644.0,173.0,104.0,0.0,0.0,78.4,5.0,100.0,268,0,120,HE Qualification,35-55,70-80%,N,M,Ireland
AAA,2013J,344282,Fail,65.0,18.0,14.0,0.0,0.0,49.2,5.0,100.0,268,0,60,A Level or Equivalent,0-35,10-20,N,M,Yorkshire Region
AAA,2013J,345068,Pass,547.0,51.0,50.0,0.0,0.0,78.0,5.0,100.0,268,0,180,A Level or Equivalent,0-35,60-70%,Y,M,East Anglian Region
